participant,group_collapsed,PVA_mean_0to240
100,Conventional,45.39866719275838
101,VR,11.216025686239202
102,VR,33.617607941826186
103,Conventional,17.684493296245737
104,VR,6.805397815058629
105,Conventional,14.950175546854734
106,VR,18.32752842783928
107,Conventional,6.797901452804606
108,Conventional,10.105558098728459
109,VR,47.6339005485177
110,VR,26.210864347815512
111,VR,14.688057095011077
112,VR,38.298122753898305
113,VR,26.39996183315913
114,Conventional,31.394314729968706
115,VR,6.492089048686127
116,VR,5.215053975457947
117,Conventional,59.13135931829611
118,Conventional,37.676197958787284
119,Conventional,22.373916306793692
120,VR,7.058786134632925
121,VR,15.546565911670525
122,VR,40.43425432350325
123,Conventional,41.81302397062381
124,VR,23.193489542883686
125,Conventional,23.54115021685759
126,VR,45.18812653365524
127,VR,25.283887866139413
128,VR,13.924648904179532
129,VR,38.84443162272374
130,VR,6.039298463190595
131,Conventional,44.1068934678038
132,VR,30.447990448176864
133,VR,3.0581095554555455
134,Conventional,21.01069647823771
135,VR,4.256265295197567
136,Conventional,31.495177168448766
137,VR,7.088372570971647
138,Conventional,67.2906490170459
139,VR,10.289924192180235
140,VR,19.453365364869438
141,Conventional,18.9649470949173
142,Conventional,6.599956770588955
143,Conventional,25.488723536754648
144,Conventional,20.19766996860504
145,Conventional,26.847931871265175
146,Conventional,14.658178170025348
