"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_45";"v_32";"v_33";"v_46";"v_47";"v_48";"v_49";"v_50";"v_51";"v_52";"v_53";"v_54";"v_55";"v_56";"v_57";"v_58";"v_1";"v_39";"v_40";"v_59";"v_60";"v_61";"v_62";"v_42";"v_63";"v_64";"v_65";"v_66";"v_67";"v_68";"v_69";"v_70";"v_71";"v_72";"v_73";"v_74";"v_75";"v_76";"v_77";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"32";"0";"0";"31";"7226503";"0.79";"515";"100";"4";"4";"2";"3";"4";"4";"2";"4";"2";"3";"2";"3";"3";"3";"3";"1";"3";"1";"2";"3";"1";"2";"-77";"-77";"-77";"-77";"-77";"2";"2";"3";"2";"1";"3";"2";"3";"Was not able to concentrate well";"Not at all";"Maybe with proper guidance will be able to perform well";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"593c2a7e28dc3a9bbbdbfd234da098ad";"1";"2";"1761136747";"2025-10-22 12:39:07";"2025-10-22 12:47:42";"0000-00-00 00:00:00"
"33";"0";"0";"31";"7226503";"0.72";"407";"107";"4";"4";"3";"4";"3";"3";"2";"4";"3";"4";"3";"4";"2";"2";"3";"1";"4";"3";"4";"3";"3";"3";"-77";"-77";"-77";"-77";"-77";"4";"2";"3";"2";"3";"2";"1";"4";"Yes, at one point where I got distracted by voices as I was following conventional method.";"-99";"I would like to go for a VR experience next time. ";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"0";"0";"-77";"-77";"e93f631d1fa0915de40712dfce4a1945";"1";"2";"1761139227";"2025-10-22 13:20:27";"2025-10-22 13:27:14";"0000-00-00 00:00:00"
"34";"0";"0";"31";"7226503";"0.36";"241";"117";"2";"2";"4";"3";"2";"3";"4";"2";"3";"2";"5";"1";"4";"2";"5";"1";"4";"3";"4";"3";"2";"4";"-77";"-77";"-77";"-77";"-77";"4";"2";"3";"2";"3";"3";"1";"3";"Not at all.. I was focused on my breathing.";"Completely ";"Yes.. to keep my mind clear";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"0";"0";"-77";"-77";"c65857f9726a911d1eb18690b94eeef7";"1";"2";"1761139300";"2025-10-22 13:21:40";"2025-10-22 13:25:41";"0000-00-00 00:00:00"
"35";"0";"0";"31";"7226503";"0.57";"828";"110";"3";"3";"4";"3";"2";"3";"4";"2";"4";"2";"4";"3";"4";"2";"3";"2";"3";"3";"4";"3";"1";"2";"3";"3";"4";"4";"3";"3";"3";"2";"2";"3";"2";"1";"3";"Yes, at the start of the experiment, the VR headset was probably not placed properly, causing some discomfort on the left side of forehead. Required a minor adjustment after which I was able to focus better on the experiment.";"Partially. During the course of the experiment, I had this constant feeling that I was part of some simulation. As a result, at no point I felt disconnected from my real surroundings. However, I did notice the influence of instructions from the VR-assistant on my mental/emotional state.";"Not really. I would prefer conventional meditation methods.";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"0";"0";"-77";"-77";"b38bff47742e2fabd8acb22176bb1ba8";"1";"2";"1761139723";"2025-10-22 13:28:43";"2025-10-22 13:42:31";"0000-00-00 00:00:00"
"36";"0";"0";"31";"7226503";"0.6";"375";"118";"3";"2";"4";"3";"1";"2";"5";"2";"3";"2";"4";"2";"2";"1";"3";"1";"1";"2";"4";"3";"1";"3";"-77";"-77";"-77";"-77";"-77";"3";"2";"2";"1";"2";"3";"3";"2";"Felt normal. Nothing changed.";"It was ok. I got bored after few minutes.";"No";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"c34c6c9679027ee20d9c37d74c2d916d";"1";"2";"1761139776";"2025-10-22 13:29:36";"2025-10-22 13:35:51";"0000-00-00 00:00:00"
"37";"0";"0";"31";"7226503";"0.69";"1797";"108";"4";"3";"4";"3";"3";"2";"4";"2";"4";"2";"4";"4";"1";"2";"4";"1";"4";"3";"4";"4";"4";"4";"-77";"-77";"-77";"-77";"-77";"4";"2";"4";"2";"4";"3";"4";"4";"I was distracted because I was constantly thinking about how much time was left.";"It was less compelling because I was aware of the environment and could not concentrate on the meditation itself. ";"No, because it mainly depends on an individual's ability to control and meditate, which is not attentive towards the task.";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"85a7b4c3ace5c016ad171e2fc21a305a";"1";"2";"1761142305";"2025-10-22 14:11:45";"2025-10-22 14:41:42";"0000-00-00 00:00:00"
"38";"0";"0";"31";"7226503";"0.58";"401";"129";"5";"5";"5";"2";"1";"2";"3";"5";"3";"5";"3";"3";"1";"3";"3";"2";"3";"5";"5";"4";"1";"4";"3";"4";"5";"5";"5";"5";"1";"4";"1";"5";"5";"1";"5";"The machine was slightly uncomfortable which caused a bit of distraction for me.";"Would like to do more virtual meditations.";"Because it helped me bring the lost energy and motivation.";"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"0";"0";"-77";"-77";"7df4f8b5e05b6c0f558cd961c2291dcb";"1";"2";"1761145371";"2025-10-22 15:02:51";"2025-10-22 15:09:32";"0000-00-00 00:00:00"
"39";"0";"0";"31";"7226503";"0.18";"183";"112";"2";"4";"4";"3";"3";"3";"3";"3";"4";"3";"4";"3";"4";"3";"3";"2";"3";"4";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"0";"3";"0";"4";"3";"3";"No";"Immersive";"As it is done like this";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"0";"0";"-77";"-77";"a0d9c9a8141e10a2ba844ca530f915d2";"1";"2";"1761152286";"2025-10-22 16:58:06";"2025-10-22 17:01:09";"0000-00-00 00:00:00"
"40";"0";"0";"31";"7226503";"0.62";"456";"116";"5";"5";"4";"4";"2";"3";"3";"3";"4";"5";"2";"4";"2";"2";"2";"2";"3";"4";"3";"4";"4";"3";"3";"3";"4";"1";"1";"2";"1";"1";"1";"3";"3";"1";"4";"The headset was very heavy ";"It was ok . Not that I will do it actually for meditation ";"No I won't as the headset was heavy making it not comfortable ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"1";"0";"-77";"-77";"ad34da97c9ccd9814c6a8f7553a20f78";"1";"2";"1761153956";"2025-10-22 17:25:56";"2025-10-22 17:33:32";"0000-00-00 00:00:00"
"42";"0";"0";"31";"7226503";"0.6";"442";"102";"4";"3";"3";"2";"5";"3";"4";"3";"5";"3";"4";"3";"1";"1";"4";"2";"2";"3";"4";"5";"2";"2";"4";"3";"2";"5";"3";"5";"2";"1";"2";"3";"1";"2";"5";"No, it carried on well.";"So compelling that i would really try it again.";"Yes, because it calmned me down and almost released all the stress i had at that time.";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7227869,7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"0";"0";"-77";"-77";"9488cee40c125acf149d975c70573f6a";"1";"2";"1761203640";"2025-10-23 07:14:00";"2025-10-23 07:21:22";"0000-00-00 00:00:00"
